gene,moduleLPV
Mcavernosa05267,0
Mcavernosa05278,0
Mcavernosa05277,0
Mcavernosa05282,0
Mcavernosa05279,0
Mcavernosa05281,0
Mcavernosa05280,0
Mcavernosa05286,0
Mcavernosa05287,0
Mcavernosa05285,0
Mcavernosa05284,0
Mcavernosa05283,0
Mcavernosa05290,0
Mcavernosa05289,0
Mcavernosa05291,0
Mcavernosa05294,0
Mcavernosa05295,0
Mcavernosa05292,0
Mcavernosa05293,0
Mcavernosa05298,0
Mcavernosa05301,0
Mcavernosa05309,0
Mcavernosa05304,0
Mcavernosa05296,0
Mcavernosa05300,0
Mcavernosa05305,0
Mcavernosa05302,0
Mcavernosa05307,0
Mcavernosa05308,0
Mcavernosa05311,0
Mcavernosa05314,0
Mcavernosa05313,0
Mcavernosa05318,0
Mcavernosa05312,7.65177736282969
Mcavernosa05316,0
Mcavernosa05315,0
Mcavernosa05321,0
Mcavernosa05319,0
Mcavernosa05322,0
Mcavernosa05323,0
Mcavernosa05329,0
Mcavernosa05328,0
Mcavernosa05333,0
Mcavernosa05330,0
Mcavernosa05332,0
Mcavernosa05331,0
Mcavernosa05337,0
Mcavernosa05338,0
Mcavernosa05335,0
Mcavernosa05340,0
Mcavernosa05336,0
Mcavernosa05339,0
Mcavernosa05341,0
Mcavernosa05353,0
Mcavernosa05343,0
Mcavernosa05345,0
Mcavernosa05350,0
Mcavernosa05344,0
Mcavernosa05361,0
Mcavernosa05359,0
Mcavernosa05357,0
Mcavernosa05354,0
Mcavernosa05356,0
Mcavernosa05358,0
Mcavernosa05362,0
Mcavernosa05377,0
Mcavernosa05380,0
Mcavernosa05376,0
Mcavernosa05375,0
Mcavernosa05368,0
Mcavernosa05366,0
Mcavernosa05374,0
Mcavernosa05381,0
Mcavernosa05367,0
Mcavernosa05384,0
Mcavernosa05385,0
Mcavernosa05386,0
Mcavernosa05389,0
Mcavernosa05388,0
Mcavernosa05383,0
Mcavernosa05382,0
Mcavernosa05387,0
Mcavernosa05393,0
Mcavernosa05390,0
Mcavernosa05399,0
Mcavernosa05397,0
Mcavernosa05402,0
Mcavernosa05401,0
Mcavernosa05395,0
Mcavernosa05396,0
Mcavernosa05398,0
Mcavernosa05394,0
Mcavernosa05400,0
Mcavernosa05403,0
