# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Oct 31 15:25:31 CDT 2019 [seed=1572551891175]
# -window -working -options
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
2350000	-232080.1771686234	-232291.06755909574	-210.89039047233743	0.9348750848354606	-217176.86570961788
2360000	-232072.2177914409	-232284.1401711222	-211.9223796813279	0.9348750848354606	-217170.45667540812
2370000	-232072.00612721726	-232284.62418223676	-212.61805501948632	0.9348750848354606	-217170.95447113726
2380000	-232083.79049089726	-232295.67889717413	-211.88840627686494	0.9348750848354606	-217181.2417303897
2390000	-232075.36227831652	-232287.24527019061	-211.88299187409308	0.9348750848354606	-217173.35699003548
2400000	-232092.13401839146	-232303.62583626428	-211.4918178728222	0.9348750848354606	-217188.64529795962
2410000	-232080.9436576898	-232292.328231877	-211.3845741872296	0.9348750848354606	-217178.0764648637
2420000	-232076.71781403612	-232288.42074857192	-211.7029345358013	0.9348750848354606	-217174.44418926808
2430000	-232069.66135413342	-232281.3587741523	-211.6974200188688	0.9348750848354606	-217167.84176620096
2440000	-232081.34342399135	-232293.02070942157	-211.67728543021695	0.9348750848354606	-217178.7429076618
2450000	-232069.31200897173	-232281.50258957487	-212.19058060313114	0.9348750848354606	-217168.00833269756
2460000	-232085.27360703947	-232297.4736307165	-212.20002367703535	0.9348750848354606	-217182.93987611914
2470000	-232093.76086932776	-232306.32736068201	-212.56649135424558	0.9348750848354606	-217191.24087384815
2480000	-232081.6719597858	-232293.26503014896	-211.5930703631463	0.9348750848354606	-217178.96583252345
2490000	-232073.92948284186	-232284.84206342103	-210.91258057915735	0.9348750848354606	-217171.04709394966
2500000	-232076.9674243232	-232289.23598472564	-212.26856040245667	0.9348750848354606	-217175.24316957302
2510000	-232096.58404871507	-232310.763888595	-214.17983987991488	0.9348750848354606	-217195.49354244303
2520000	-232080.32911688552	-232291.17136585907	-210.84224897355753	0.9348750848354606	-217176.95962076352
2530000	-232089.47869027252	-232301.39560869167	-211.9169184191481	0.9348750848354606	-217186.5879984055
2540000	-232070.3861623749	-232282.2718281872	-211.88566581229244	0.9348750848354606	-217168.70761716063
2550000	-232076.57005856684	-232289.60518975736	-213.03513119053036	0.9348750848354606	-217175.6382530159
2560000	-232074.8884520678	-232286.5320331306	-211.64358106282333	0.9348750848354606	-217172.67461086976
2570000	-232088.60838029732	-232300.21640345769	-211.60802316036646	0.9348750848354606	-217185.4654720348
2580000	-232077.35769486046	-232289.05163192475	-211.69393706429057	0.9348750848354606	-217175.03340043648
2590000	-232084.96190987097	-232296.2916199016	-211.32971003064367	0.9348750848354606	-217181.7781645559
2600000	-232076.51336274156	-232288.17219024905	-211.65882750748568	0.9348750848354606	-217174.20894581842
2610000	-232077.94496588843	-232290.34629486303	-212.4013289745949	0.9348750848354606	-217176.2898173989
2620000	-232083.8488424923	-232295.31543141545	-211.46658892314954	0.9348750848354606	-217180.87446448836
2630000	-232069.0853690222	-232280.12134870916	-211.03597968695908	0.9348750848354606	-217166.64185173932
2640000	-232071.7576765964	-232283.31264515317	-211.55496855675656	0.9348750848354606	-217169.65911437926
2650000	-232088.92698767246	-232301.30022355705	-212.37323588458958	0.9348750848354606	-217186.52854285587
2660000	-232084.07478919282	-232295.88354204886	-211.80875285604407	0.9348750848354606	-217181.42786036205
2670000	-232094.42216764885	-232305.18910727164	-210.76693962278344	0.9348750848354606	-217190.0595534407
2680000	-232088.00952736713	-232299.40926089484	-211.3997335277126	0.9348750848354606	-217184.69732971824
2690000	-232074.6729651232	-232287.0447464323	-212.37178130909422	0.9348750848354606	-217173.2013577404
2700000	-232072.23402848386	-232284.36767139434	-212.1336429104754	0.9348750848354606	-217170.6831182442
2710000	-232085.16537897964	-232296.81899035652	-211.6536113768826	0.9348750848354606	-217182.29228410238
2720000	-232079.5598674182	-232291.01713997632	-211.45727255812585	0.9348750848354606	-217176.85549218705
2730000	-232066.3165762653	-232277.86517794218	-211.54860167688645	0.9348750848354606	-217164.56599836575
2740000	-232084.41275076283	-232297.8295890695	-213.41683830666383	0.9348750848354606	-217183.3518976641
2750000	-232080.45828320578	-232291.92091355723	-211.46263035146188	0.9348750848354606	-217177.70075651602
2760000	-232094.62531211937	-232305.8138366138	-211.1885244944066	0.9348750848354606	-217190.67105301644
2770000	-232084.8808116351	-232296.5600250162	-211.67921338106999	0.9348750848354606	-217182.0518511862
2780000	-232077.42974203744	-232288.5559385812	-211.12619654377585	0.9348750848354606	-217174.53301502665
2790000	-232084.03486666904	-232295.6211819505	-211.58631528146086	0.9348750848354606	-217181.16810021465
2800000	-232067.01132363308	-232279.77870307158	-212.76737943850108	0.9348750848354606	-217166.43427813175
2810000	-232080.53642148123	-232292.0691953795	-211.5327738982877	0.9348750848354606	-217177.84394958973
2820000	-232082.31525346095	-232292.84497123316	-210.5297177721964	0.9348750848354606	-217178.50387916164
2830000	-232085.6679027661	-232295.7859071663	-210.11800440022571	0.9348750848354606	-217181.2264740932
2840000	-232080.22145881315	-232292.79584537452	-212.5743865613755	0.9348750848354606	-217178.5911115018
2850000	-232075.11688840014	-232286.8853044814	-211.76841608126065	0.9348750848354606	-217173.01300532377
2860000	-232070.07696462856	-232281.0169187839	-210.93995415531995	0.9348750848354606	-217167.47284423432
2870000	-232078.10037138654	-232290.01798245765	-211.91761107110727	0.9348750848354606	-217175.95138422365
2880000	-232085.63390802816	-232296.51170958928	-210.87780156112623	0.9348750848354606	-217181.95449042058
2890000	-232089.1165518015	-232300.2564332728	-211.13988147129257	0.9348750848354606	-217185.4724072238
2900000	-232083.60803488363	-232294.93333598602	-211.32530110238696	0.9348750848354606	-217180.508051634
2910000	-232080.310191683	-232291.59720687137	-211.2870151883739	0.9348750848354606	-217177.38669427802
2920000	-232100.5416709644	-232311.36054488763	-210.8188739232498	0.9348750848354606	-217195.8324589224
